city_id,city,state_code,city_pop
1,Columbia,SC,333497
2,Altonah,UT,302
3,Bellmore,NY,34496
4,Titusville,FL,54767
5,Falmouth,MI,1126
6,Breesport,NY,520
7,Carlotta,CA,1139
8,Spencer,SD,343
9,Morrisdale,PA,3688
10,Prairie Hill,TX,263
11,Westport,KY,564
12,Fort Washakie,WY,1645
13,Loxahatchee,FL,26551
14,Rock Tavern,NY,2258
15,Jones,AL,1089
16,Deltona,FL,88735
17,Key West,FL,32891
18,Grandview,TX,5875
19,Saint Amant,LA,10076
20,Clarks Mills,PA,606
21,Alpharetta,GA,165556
22,Colorado Springs,CO,525713
23,Greenville,OH,22930
24,Tomahawk,WI,9594
25,Goodrich,MI,6951
26,Daly City,CA,107941
27,South Londonderry,VT,828
28,Lepanto,AR,2470
29,New Waverly,TX,4993
30,New York City,NY,1577385
31,Pewee Valley,KY,3263
32,Plainfield,NJ,71485
33,Belmond,IA,3032
34,Bagley,WI,878
35,Manchester,MD,11751
36,Sontag,MS,1196
37,Hawthorne,CA,93193
38,Gadsden,AL,67082
39,Birmingham,AL,493806
40,Ollie,IA,568
41,Baton Rouge,LA,378909
42,San Antonio,TX,1595797
43,Southfield,MI,75830
44,Mc Cracken,KS,320
45,Purmela,TX,258
46,Lomax,IL,725
47,Tuscarora,MD,100
48,Sunflower,MS,1686
49,Ogdensburg,NJ,2456
50,Redford,MO,241
51,Brooklin,ME,824
52,Fields Landing,CA,276
53,Rocky Mount,MO,1847
54,Port Saint Lucie,FL,181438
55,Graniteville,VT,970
56,Tiptonville,TN,5577
57,Washington,DC,601723
58,Clearwater,FL,172247
59,Brooklyn,NY,2504700
60,Superior,AZ,2872
61,Glendale,CA,172817
62,Hudson,NY,17867
63,Rock Springs,WY,27971
64,Hurley,SD,811
65,Fort Myers,FL,224256
66,Turner,MT,192
67,Smiths Grove,KY,6841
68,Elizabeth,NJ,124967
69,Bauxite,AR,4074
70,Sachse,TX,20328
71,Emmons,MN,744
72,New Holstein,WI,5196
73,Saint Petersburg,FL,341043
74,Cokeburg,PA,632
75,Roosevelt,OK,551
76,Centerview,MO,2368
77,Conway,WA,85
78,Tallmansville,WV,571
79,Ruidoso,NM,8874
80,Oriskany Falls,NY,1970
81,Elk Rapids,MI,2223
82,Monmouth Beach,NJ,3279
83,North Brookfield,MA,4680
84,Mount Saint Joseph,OH,177
85,Sprague,NE,142
86,Cass,WV,365
87,Cord,AR,376
88,Shenandoah Junction,WV,1925
89,New Ellenton,SC,2206
90,Munith,MI,2523
91,De Witt,AR,5161
92,Cuyahoga Falls,OH,47772
93,Drakes Branch,VA,1970
94,Romulus,MI,31515
95,Tyaskin,MD,470
96,Philadelphia,PA,1526206
97,North Loup,NE,509
98,Hartford,AL,5732
99,Moriarty,NM,7268
100,Eureka,IL,6713
101,Wheaton,MO,760
102,Amanda,OH,4512
103,Altair,TX,106
104,Ratcliff,TX,43
105,Murfreesboro,TN,158701
106,Plantersville,AL,1412
107,Pembroke Township,IL,2135
108,Lahoma,OK,1078
109,Phoenix,AZ,1312922
110,Leonard,TX,4090
111,Kittery Point,ME,1780
112,East Andover,ME,190
113,Meridian,ID,84106
114,Bowdoin,ME,3224
115,Dallas,TX,1263321
116,Espanola,NM,18408
117,Sherman,TX,46563
118,Aledo,TX,13602
119,Weeping Water,NE,1517
120,Norwalk,CA,105549
121,Creola,OH,321
122,Arcadia,MI,680
123,Eugene,OR,191096
124,Fulton,SD,355
125,Helm,CA,123
126,Sutherland,NE,1789
127,Egan,LA,1261
128,Lakeland,FL,237282
129,Hudson,KS,215
130,Thomas,WV,836
131,Holstein,NE,331
